"","clust","dim 1","dim 2","dim 3","per agent - food consumers","per agent - food retailers","per agent - food distributors transporters","per agent - food producers","per agent - generic agents","per agent - food traders","per agent - non-food agents other","per agent - no agents","per agent - political entities","per agent - food storers and processors","modelling - primary or secondary","per model - biophysical domain","modelling - data quan spatial","per model - economic domain","per model - logistic domain","per model - social domain","per model - ABM","per model - cellular automata","per model - CGE model","per model - mathematical other","per model - microsimulation model","per model - optimisation","per model - PE model","per model - statistical/econometric","per model - system dynamics model","modelling - aggregated quantitative","modelling - disaggregated qualitative","modelling - disaggregated quantitative","food - consumption","food - distribution & transport","food - production*","food - retail","food - storage and processing","food - trade & wholesale","food - cereals & cereal products","food - compisite foods*","food - composite crops*","food - fodder crops and derived products","food - fruits and derived products","food - livestock and animal sourced foods**","food - non-food crops and derived products**","food - oil crops and vegetable oils and fats**","food - pulses, nuts, and derived products**","food - roots and tubers, and derived products","food - seeds for planting*","food - stimulant crops, sugar crops, derived products, and additives**","food - vegetables and derived products","spatial & temporal - spatial extent [m2]","spatial & temporal - temporal resolution [d]","spatial & temporal - temporal extent [d]","spatial & temporal - spatial resolution [m2]","spatial & temporal - ref quan scale","spatial & temporal - geographic representation","spatial & temporal - hypothetical representation","spatial - East Asia & Pacific","spatial - Europe & Central Asia","spatial - Latin America & Caribbean","spatial - Middle East & North Africa","spatial - NA","spatial - North America","spatial - South Asia","spatial - Sub-Saharan Africa","per measure - communal","per measure - process-based simulation","per measure - spatially targeted?","per measure - private","per measure - public","per measure - effect-based simulation","gov - obj access","gov - obj availability","gov - obj environmental/climate","gov - obj health & wellbeing","gov - obj infrastructure, logistics & technology","gov - obj macro-economic","gov - obj other","gov - obj stability","gov - obj utilisation","gov - At-large processing","gov - At-large storage and custody","gov - At-large treatment","gov - Bearer-directed payments","gov - Bespoke messages","gov - Bounties","gov - Conditional tokens","gov - Conduits","gov - Contracts","gov - Enablements","gov - Group-targeted constraints","gov - Group-targeted messages","gov - Group-targeted transportation and distribution","gov - Group treatnent","gov - Open compacts","gov - Open permits","gov - Packaged self-serve messages","gov - Processing","gov - Propaganda","gov - Standard constraints","gov - Storage and custody","gov - Transfers","gov - Transport and distribution","per effect - intended?","per effect - global impact","per effect - impact within jurisdiction","per effect - impact outside jurisdiction","aff food consumers","aff food distributors transporters","aff food producers","aff food retailers","aff food storers and processors","aff food traders","aff generic agents","aff other non-food agents","aff political entities","FS - access","FS - availability","FS - stability","FS - utilisation","Document"
"11","2",-0.350214321871259,5.67532883559124,5.51985590042934,"yes","yes","yes","no","no","no","no","no","no","no","secondary","no",2,"no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
"12","2",-0.0871803707341622,4.76922271949113,5.44636462438112,"yes","yes","yes","no","no","no","no","no","no","no","primary","no",0,"no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
"13","2",-0.0846527641139954,0.514721036984339,0.349154386205127,"no","no","no","no","no","no","no","yes","no","no","secondary","no",0,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no",8.81913e+11,365,18262,NA,4,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","assumed","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Akbar 2017"
"14","2",-0.924824144489668,0.634002926098647,0.0967395702503851,"no","no","no","no","no","no","no","yes","no","no","secondary","no",0,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no",8.81913e+11,365,18262,NA,4,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","assumed","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","Akbar 2017"
"15","2",-0.236292804140707,0.665961438361238,0.745371497175076,"no","no","no","no","no","no","no","yes","no","no","secondary","no",0,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no",8.81913e+11,365,18262,NA,4,"no","no","no","no","no","no","no","no","yes","no","unclear","no","no","unclear","unclear","assumed","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Akbar 2017"
"16","2",-1.06273677909331,0.665893170968607,0.434655921395433,"no","no","no","no","no","no","no","yes","no","no","secondary","no",0,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no",8.81913e+11,365,18262,NA,4,"no","no","no","no","no","no","no","no","yes","no","unclear","no","no","unclear","unclear","assumed","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","Akbar 2017"
"17","2",-1.07646418451623,0.785243327475482,0.492956681220356,"no","no","no","no","no","no","no","yes","no","no","secondary","no",0,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no",8.81913e+11,365,18262,NA,4,"no","no","no","no","no","no","no","no","yes","no","unclear","no","no","unclear","unclear","assumed","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","Akbar 2017"
"18","2",-0.806732367269812,1.6506212117822,-0.171409222127505,"no","no","no","yes","no","no","no","no","no","no","secondary","yes",0,"yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no",7.415e+09,365,1826,NA,3,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","assumed","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","Alary 2005"
"19","2",-0.820459772692608,1.76997136828911,-0.113108462302596,"no","no","no","yes","no","no","no","no","no","no","secondary","yes",0,"yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no",7.415e+09,365,1826,NA,3,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","assumed","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","Alary 2005"
"20","2",-0.808625492495145,1.71295924648135,-0.148166792374809,"no","no","no","yes","no","no","no","no","no","no","secondary","yes",0,"yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no",7.415e+09,365,1826,NA,3,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","assumed","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no",NA,"no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","Alary 2005"
